date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:13	30471/30471	---MCZ	200	added ('OK')	text/html	etag:W/%227707-9V5A3ujsCn/zSwVXMmRP/AehOuc%22	https://pixworld.net/tr	C:/MapPix/pixworld.net/tr.html	(from )
18:13:14	23/23	---M--	200	added ('OK')	text/plain	etag:%2250d8a018e8ae96732c8a2ba663c61d4e%22	https://pixworld.net/robots.txt		(from )
18:13:14	1584/1584	---M--	200	added ('OK')	image/png	etag:%22573c045875f4662115a850924bbeccd7%22	https://pixworld.net/icons/apple-touch-icon.png	C:/MapPix/pixworld.net/icons/apple-touch-icon.png	(from https://pixworld.net/tr)
18:13:14	1647/1647	---M--	200	added ('OK')	image/png	etag:%22fdf4771670848329749cfd961edaa21a%22	https://pixworld.net/icons/favicon-32x32.png	C:/MapPix/pixworld.net/icons/favicon-32x32.png	(from https://pixworld.net/tr)
18:13:14	1185/1185	---M--	200	added ('OK')	image/png	etag:%22805e9d952fde38bffdfdc4bf2914cbce%22	https://pixworld.net/icons/favicon-16x16.png	C:/MapPix/pixworld.net/icons/favicon-16x16.png	(from https://pixworld.net/tr)
18:13:14	469/469	---M--	200	added ('OK')	application/json	etag:%225410c2dede41f19e25a22b755863aaf5%22	https://pixworld.net/manifest.json	C:/MapPix/pixworld.net/manifest.json	(from https://pixworld.net/tr)
18:13:15	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2230596ba99cba7d0568165015577de7b9%22	https://pixworld.net/favicon.ico	C:/MapPix/pixworld.net/favicon.ico	(from https://pixworld.net/tr)
18:13:15	2099/2099	---M--	200	added ('OK')	image/png	etag:%2225ff8849e5acabf8c403ca27fcf96f8e%22	https://pixworld.vercel.app/icons/android-chrome-192x192.png	C:/MapPix/pixworld.vercel.app/icons/android-chrome-192x192.png	(from https://pixworld.net/tr)
18:13:16	112/112	---M--	200	added ('OK')	text/css	etag:%2293ffe7b0c0a373fc652ee18b0f37c451%22	https://pixworld.net/_next/static/css/851321d1f0a87a6e503e.css	C:/MapPix/pixworld.net/_next/static/css/851321d1f0a87a6e503e.css	(from https://pixworld.net/tr)
18:13:16	92017/92017	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261b1abffd6a05a761d0ca34120d2d043%22	https://pixworld.net/_next/static/chunks/polyfills-a54b4f32bdc1ef890ddd.js	C:/MapPix/pixworld.net/_next/static/chunks/polyfills-a54b4f32bdc1ef890ddd.js	(from https://pixworld.net/tr)
18:13:16	1681/1681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc1139507dece9de8be4987e4357a7b6%22	https://pixworld.net/_next/static/chunks/webpack-9fc9ab40a062a7008df3.js	C:/MapPix/pixworld.net/_next/static/chunks/webpack-9fc9ab40a062a7008df3.js	(from https://pixworld.net/tr)
18:13:16	131031/131031	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ebfa7545bbc0cb03aa824de5bb5defe6%22	https://pixworld.net/_next/static/chunks/framework-2191d16384373197bc0a.js	C:/MapPix/pixworld.net/_next/static/chunks/framework-2191d16384373197bc0a.js	(from https://pixworld.net/tr)
18:13:17	73654/73654	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224c6c1a466d775f57d58fbe138443074%22	https://pixworld.net/_next/static/chunks/main-c647e1e4e7bc684b60c2.js	C:/MapPix/pixworld.net/_next/static/chunks/main-c647e1e4e7bc684b60c2.js	(from https://pixworld.net/tr)
18:13:17	66189/66189	---MCZ	200	added ('OK')	application/javascript	etag:W/%225513c5c0e35b3b069f02fe854c436e69%22	https://pixworld.net/_next/static/chunks/pages/_app-4cfa3ed7801324f3f7e3.js	C:/MapPix/pixworld.net/_next/static/chunks/pages/_app-4cfa3ed7801324f3f7e3.js	(from https://pixworld.net/tr)
18:13:17	71673/71673	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba756b1fa3ebf916468e9457a12c645d%22	https://pixworld.net/_next/static/chunks/29107295-2648cb5e919f7c78c7cc.js	C:/MapPix/pixworld.net/_next/static/chunks/29107295-2648cb5e919f7c78c7cc.js	(from https://pixworld.net/tr)
18:13:17	52414/52414	---MCZ	200	added ('OK')	application/javascript	etag:W/%2207e89b0e4dc72e54e083a2c174dd9c9b%22	https://pixworld.net/_next/static/chunks/680-a24b1eae38dba9691eb5.js	C:/MapPix/pixworld.net/_next/static/chunks/680-a24b1eae38dba9691eb5.js	(from https://pixworld.net/tr)
18:13:17	19139/19139	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ec3726e02af75ccedcf0a2eefd3e9d0%22	https://pixworld.net/_next/static/chunks/329-88246275515732dd96a6.js	C:/MapPix/pixworld.net/_next/static/chunks/329-88246275515732dd96a6.js	(from https://pixworld.net/tr)
18:13:18	53460/53460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f05103009426f4a4c10057fdc0abc7%22	https://pixworld.net/_next/static/chunks/732-8f32ee4a33d53c3e359d.js	C:/MapPix/pixworld.net/_next/static/chunks/732-8f32ee4a33d53c3e359d.js	(from https://pixworld.net/tr)
18:13:18	70950/70950	---MCZ	200	added ('OK')	application/javascript	etag:W/%227fd07816d9c4ea7a682110d021802b76%22	https://pixworld.net/_next/static/chunks/895-fb765db265be86cecbc7.js	C:/MapPix/pixworld.net/_next/static/chunks/895-fb765db265be86cecbc7.js	(from https://pixworld.net/tr)
18:13:18	79742/79742	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251b77704bc932f17a8557e4554daa93c%22	https://pixworld.net/_next/static/chunks/pages/index-e562cddd8dab32e9a52c.js	C:/MapPix/pixworld.net/_next/static/chunks/pages/index-e562cddd8dab32e9a52c.js	(from https://pixworld.net/tr)
18:13:18	1106/1106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b3684d4b98c7c46a6fe5d4d0d8ea5267%22	https://pixworld.net/_next/static/WSaVIvfWgjTiFK12Ftxse/_buildManifest.js	C:/MapPix/pixworld.net/_next/static/WSaVIvfWgjTiFK12Ftxse/_buildManifest.js	(from https://pixworld.net/tr)
